,timestamp,gen,capacity,forecast_da,forecast_rt
241,2024-03-11 1:00,0,73855.62,0,0
242,2024-03-11 2:00,0,73855.62,0,0
243,2024-03-11 3:00,0,73855.62,0,0
244,2024-03-11 4:00,0,73855.62,0,0
245,2024-03-11 5:00,0,73855.62,0,0
246,2024-03-11 6:00,0.218,73855.62,0,0
247,2024-03-11 7:00,727.551267,73855.62,643.2093962,620.9329362
248,2024-03-11 8:00,3633.29513,73855.62,2748.642952,3307.546946
249,2024-03-11 9:00,6605.97646,73855.62,5691.60459,6560.937017
250,2024-03-11 10:00,7703.3603,73855.62,8437.763292,8098.805766
251,2024-03-11 11:00,7881.234033,73855.62,9895.681995,8790.467294
252,2024-03-11 12:00,7437.888837,73855.62,10104.17417,8421.813633
253,2024-03-11 13:00,6308.1427,73855.62,8965.290943,7392.588909
254,2024-03-11 14:00,4386.69597,73855.62,7130.702924,5130.662724
255,2024-03-11 15:00,3271.23623,73855.62,5276.074242,3546.144014
256,2024-03-11 16:00,2292.67654,73855.62,3063.180217,2317.74189
257,2024-03-11 17:00,1209.403827,73855.62,1082.394925,1108.266309
258,2024-03-11 18:00,293.9888102,73855.62,69.85321593,178.5963808
259,2024-03-11 19:00,5.37692311,73855.62,-12.63830461,-23.48428166
260,2024-03-11 20:00,0,73855.62,-31.14490772,-29.31144536
261,2024-03-11 21:00,0,73855.62,0,0
262,2024-03-11 22:00,0,73855.62,0,0
263,2024-03-11 23:00,0,73855.62,0,0
264,2024-03-12 0:00,0,73855.62,0,0
265,2024-03-12 1:00,0,73855.62,0,0
266,2024-03-12 2:00,0,73855.62,0,0
267,2024-03-12 3:00,0,73855.62,0,0
268,2024-03-12 4:00,0,73855.62,0,0
269,2024-03-12 5:00,0,73855.62,0,0
270,2024-03-12 6:00,1.5686667,73855.62,0,0
271,2024-03-12 7:00,485.584539,73855.62,536.2643558,621.0185391
272,2024-03-12 8:00,2056.090353,73855.62,2665.614999,2246.730041
273,2024-03-12 9:00,4668.502837,73855.62,5208.646799,4657.742557
274,2024-03-12 10:00,7162.7166,73855.62,6664.832901,7367.094773
275,2024-03-12 11:00,7430.26286,73855.62,8139.699078,8137.536499
276,2024-03-12 12:00,5976.06973,73855.62,8890.430695,7131.300194
277,2024-03-12 13:00,4005.0305,73855.62,8394.159844,5021.442873
278,2024-03-12 14:00,3794.51155,73855.62,6721.726555,4554.705288
279,2024-03-12 15:00,2995.12056,73855.62,5515.83661,3476.007545
280,2024-03-12 16:00,2730.95873,73855.62,3388.95069,2632.639524
281,2024-03-12 17:00,1253.252,73855.62,1383.071563,1400.5748
282,2024-03-12 18:00,187.4197337,73855.62,199.8741708,205.2612402
283,2024-03-12 19:00,6.2043333,73855.62,6.052434291,26.69954528
284,2024-03-12 20:00,0,73855.62,-38.37696065,4.676463147
285,2024-03-12 21:00,0,73855.62,0,0
286,2024-03-12 22:00,0,73855.62,0,0
287,2024-03-12 23:00,0,73855.62,0,0
288,2024-03-13 0:00,0,73855.62,0,0
289,2024-03-13 1:00,0,73855.62,0,0
290,2024-03-13 2:00,0,73855.62,0,0
291,2024-03-13 3:00,0,73855.62,0,0
292,2024-03-13 4:00,0,73855.62,0,0
293,2024-03-13 5:00,0,73855.62,0,0
294,2024-03-13 6:00,1.268,73855.62,0,0
295,2024-03-13 7:00,596.520473,73855.62,708.1258498,723.0050656
296,2024-03-13 8:00,2817.59333,73855.62,3399.813987,2969.733539
297,2024-03-13 9:00,6667.86637,73855.62,6527.180049,6443.843377
298,2024-03-13 10:00,11089.7588,73855.62,9248.924467,10429.3935
299,2024-03-13 11:00,13598.9818,73855.62,12044.72489,12970.3047
300,2024-03-13 12:00,14694.6577,73855.62,13150.92878,14036.38008
301,2024-03-13 13:00,14634.1103,73855.62,13254.9342,14074.81973
302,2024-03-13 14:00,13277.818,73855.62,12108.81454,13007.77397
303,2024-03-13 15:00,10711.4616,73855.62,10206.33284,10629.15735
304,2024-03-13 16:00,7096.765597,73855.62,6787.846543,7128.556191
305,2024-03-13 17:00,3070.6708,73855.62,2846.087,3014.44715
306,2024-03-13 18:00,463.3852,73855.62,237.3443023,388.3909052
307,2024-03-13 19:00,9.219,73855.62,1.958809366,7.684444631
308,2024-03-13 20:00,0,73855.62,1.719249325,-4.025195057
309,2024-03-13 21:00,0,73855.62,0,0
310,2024-03-13 22:00,0,73855.62,0,0
311,2024-03-13 23:00,0,73855.62,0,0
312,2024-03-14 0:00,0,73855.62,0,0
313,2024-03-14 1:00,0,73855.62,0,0
314,2024-03-14 2:00,0,73855.62,0,0
315,2024-03-14 3:00,0,73855.62,0,0
316,2024-03-14 4:00,0,73855.62,0,0
317,2024-03-14 5:00,0,73855.62,0,0
318,2024-03-14 6:00,1.4,73855.62,0,0
319,2024-03-14 7:00,692.498673,73855.62,816.369895,750.2848221
320,2024-03-14 8:00,3439.2908,73855.62,3580.990536,3489.639968
321,2024-03-14 9:00,7206.76323,73855.62,7166.16718,7276.938063
322,2024-03-14 10:00,10138.3285,73855.62,10163.95564,10134.96865
323,2024-03-14 11:00,12648.8162,73855.62,12362.90488,12581.38321
324,2024-03-14 12:00,13994.3098,73855.62,13490.90686,13631.79866
325,2024-03-14 13:00,14303.9709,73855.62,13662.68098,13981.4758
326,2024-03-14 14:00,13082.0691,73855.62,12605.13073,12880.09007
327,2024-03-14 15:00,10726.2735,73855.62,10646.03792,10616.32212
328,2024-03-14 16:00,7286.10737,73855.62,7306.015225,7311.771243
329,2024-03-14 17:00,3150.11333,73855.62,3079.262073,3168.831499
330,2024-03-14 18:00,476.5188,73855.62,330.0341259,420.4589704
331,2024-03-14 19:00,11.866,73855.62,24.38798417,16.86239775
332,2024-03-14 20:00,0,73855.62,18.08648028,2.391658463
333,2024-03-14 21:00,0,73855.62,0,0
334,2024-03-14 22:00,0,73855.62,0,0
335,2024-03-14 23:00,0,73855.62,0,0
336,2024-03-15 0:00,0,73855.62,0,0
337,2024-03-15 1:00,0,73855.62,0,0
338,2024-03-15 2:00,0,73855.62,0,0
339,2024-03-15 3:00,0,73855.62,0,0
340,2024-03-15 4:00,0,73855.62,0,0
341,2024-03-15 5:00,0,73855.62,0,0
342,2024-03-15 6:00,4.811,73855.62,0,0
343,2024-03-15 7:00,929.54427,73855.62,1010.472306,968.4304239
344,2024-03-15 8:00,4175.930843,73855.62,4396.289279,4234.246838
345,2024-03-15 9:00,8065.808148,73855.62,8253.82233,8179.033081
346,2024-03-15 10:00,11121.9267,73855.62,11326.31086,11199.01313
347,2024-03-15 11:00,13125.12685,73855.62,13633.72213,13304.68842
348,2024-03-15 12:00,14179.566,73855.62,14748.84169,14246.54772
349,2024-03-15 13:00,14068.46714,73855.62,14547.5794,14108.64053
350,2024-03-15 14:00,12758.50024,73855.62,13290.10511,12830.24191
351,2024-03-15 15:00,10422.18462,73855.62,10911.52092,10457.02061
352,2024-03-15 16:00,7060.326922,73855.62,7199.289739,7158.36081
353,2024-03-15 17:00,3086.630878,73855.62,3047.565179,3047.948775
354,2024-03-15 18:00,516.470943,73855.62,308.8995009,431.5358069
355,2024-03-15 19:00,10.791,73855.62,7.593627177,21.38170891
356,2024-03-15 20:00,0,73855.62,15.49006097,5.769933483
357,2024-03-15 21:00,0,73855.62,0,0
358,2024-03-15 22:00,0,73855.62,0,0
359,2024-03-15 23:00,0,73855.62,0,0
360,2024-03-16 0:00,0,73855.62,0,0
361,2024-03-16 1:00,0,73855.62,0,0
362,2024-03-16 2:00,0,73855.62,0,0
363,2024-03-16 3:00,0,73855.62,0,0
364,2024-03-16 4:00,0,73855.62,0,0
365,2024-03-16 5:00,0,73855.62,0,0
366,2024-03-16 6:00,7.201333,73855.62,0,0
367,2024-03-16 7:00,923.920737,73855.62,1023.809317,1006.561243
368,2024-03-16 8:00,4006.581,73855.62,4410.527785,4150.007497
369,2024-03-16 9:00,7723.60227,73855.62,8301.057199,7933.159594
370,2024-03-16 10:00,10627.9288,73855.62,11249.24823,10891.71084
371,2024-03-16 11:00,12213.7645,73855.62,13075.17287,12729.72453
372,2024-03-16 12:00,13814.6321,73855.62,13668.38749,13616.54711
373,2024-03-16 13:00,13476.6544,73855.62,13187.67978,13407.34313
374,2024-03-16 14:00,11234.60783,73855.62,11918.03145,11566.74255
375,2024-03-16 15:00,8093.94231,73855.62,9579.756446,8488.804877
376,2024-03-16 16:00,5710.7094,73855.62,5782.649747,5627.332521
377,2024-03-16 17:00,2268.91,73855.62,2607.815875,2270.642901
378,2024-03-16 18:00,391.79033,73855.62,332.1748752,348.5564486
379,2024-03-16 19:00,8.207,73855.62,16.31999337,13.95427799
380,2024-03-16 20:00,0,73855.62,-14.50528829,-5.241003518
381,2024-03-16 21:00,0,73855.62,0,0
382,2024-03-16 22:00,0,73855.62,0,0
383,2024-03-16 23:00,0,73855.62,0,0
384,2024-03-17 0:00,0,73855.62,0,0
385,2024-03-17 1:00,0,73855.62,0,0
386,2024-03-17 2:00,0,73855.62,0,0
387,2024-03-17 3:00,0,73855.62,0,0
388,2024-03-17 4:00,0,73855.62,0,0
389,2024-03-17 5:00,0,73855.62,0,0
390,2024-03-17 6:00,8.369,73855.62,0,0
391,2024-03-17 7:00,650.367713,73855.62,740.0653028,741.4306978
392,2024-03-17 8:00,2711.2033,73855.62,3236.173866,2868.31072
393,2024-03-17 9:00,5341.8249,73855.62,6087.724392,5473.97307
394,2024-03-17 10:00,8948.9686,73855.62,8460.919402,8765.870549
395,2024-03-17 11:00,10974.1699,73855.62,10525.16025,11070.26268
396,2024-03-17 12:00,10970.4414,73855.62,11397.02113,11727.1148
397,2024-03-17 13:00,10111.6056,73855.62,11733.87259,10778.59135
398,2024-03-17 14:00,9702.44307,73855.62,11224.73369,10220.98276
399,2024-03-17 15:00,8139.88893,73855.62,9105.709737,8408.544664
400,2024-03-17 16:00,4835.18593,73855.62,5490.177998,5202.358556
401,2024-03-17 17:00,2217.78597,73855.62,2453.277537,2281.341652
402,2024-03-17 18:00,461.1574,73855.62,282.6364925,379.3691363
403,2024-03-17 19:00,9.43,73855.62,-74.05056208,5.693269158
404,2024-03-17 20:00,0,73855.62,-48.011408,-1.587693001
405,2024-03-17 21:00,0,73855.62,0,0
406,2024-03-17 22:00,0,73855.62,0,0
407,2024-03-17 23:00,0,73855.62,0,0
408,2024-03-18 0:00,0,73855.62,0,0
409,2024-03-18 1:00,0,73855.62,0,0
410,2024-03-18 2:00,0,73855.62,0,0
411,2024-03-18 3:00,0,73855.62,0,0
412,2024-03-18 4:00,0,73855.62,0,0
413,2024-03-18 5:00,0,73855.62,0,0
414,2024-03-18 6:00,13.7348,73855.62,0,0
415,2024-03-18 7:00,1081.10667,73855.62,1085.946457,1089.379359
416,2024-03-18 8:00,4403.72843,73855.62,4424.322454,4453.502567
417,2024-03-18 9:00,8380.34423,73855.62,8490.577789,8519.557229
418,2024-03-18 10:00,11466.3516,73855.62,11363.81479,11438.10868
419,2024-03-18 11:00,13482.9813,73855.62,13088.16473,13357.97147
420,2024-03-18 12:00,14346.0921,73855.62,13848.19155,14122.65982
421,2024-03-18 13:00,14004.2075,73855.62,14047.80096,14058.85549
422,2024-03-18 14:00,12682.9649,73855.62,12925.50461,12840.44012
423,2024-03-18 15:00,10280.53297,73855.62,10525.93851,10443.86653
424,2024-03-18 16:00,6812.53877,73855.62,6776.424694,6687.580392
425,2024-03-18 17:00,2828.0584,73855.62,2895.868984,2885.329427
426,2024-03-18 18:00,439.6274,73855.62,477.8939753,401.924076
427,2024-03-18 19:00,10.974,73855.62,116.3700122,26.61847064
428,2024-03-18 20:00,0,73855.62,83.53865814,17.98038859
429,2024-03-18 21:00,0,73855.62,0,0
430,2024-03-18 22:00,0,73855.62,0,0
431,2024-03-18 23:00,0,73855.62,0,0
432,2024-03-19 0:00,0,73855.62,0,0
433,2024-03-19 1:00,0,73855.62,0,0
434,2024-03-19 2:00,0,73855.62,0,0
435,2024-03-19 3:00,0,73855.62,0,0
436,2024-03-19 4:00,0,73855.62,0,0
437,2024-03-19 5:00,0,73855.62,0,0
438,2024-03-19 6:00,3.1423333,73855.62,0,0
439,2024-03-19 7:00,423.400104,73855.62,496.4159358,537.1434984
440,2024-03-19 8:00,1297.18421,73855.62,2068.88503,1661.617836
441,2024-03-19 9:00,2728.34336,73855.62,4217.34389,2865.696736
442,2024-03-19 10:00,5524.14587,73855.62,5526.876132,5160.138791
443,2024-03-19 11:00,8600.875802,73855.62,6786.124114,7746.276308
444,2024-03-19 12:00,10199.93083,73855.62,7753.815391,9791.099617
445,2024-03-19 13:00,8320.1762,73855.62,8622.866979,8480.819017
446,2024-03-19 14:00,7016.7643,73855.62,8293.616443,6884.43921
447,2024-03-19 15:00,5878.7604,73855.62,7733.66771,6041.696011
448,2024-03-19 16:00,4224.5671,73855.62,6313.718039,4735.470084
449,2024-03-19 17:00,2083.7523,73855.62,2879.108218,2092.511359
